jinhanki_id_joined,geom_joined_any,population
神田松永町 - 2797,POINT(139.7763167 35.7014939),7172.0
台東二丁目 - 2908,POINT(139.7794411 35.7026078),7684.0
下連雀八丁目 - 2761,POINT(139.5645033 35.6831336),7684.0
台東二丁目 - 2932,POINT(139.7790313 35.7028298),7684.0
台東一丁目 - 2964,POINT(139.7790826 35.7019485),7684.0
東門前一丁目 - 3063,POINT(139.7347859 35.5359595),8200.0
東門前一丁目 - 3061,POINT(139.7347775 35.5360217),8200.0
東上野四丁目 - 660,POINT(139.7780192 35.7130034),10248.0
鶴牧五丁目 - 2834,POINT(139.4235209 35.6113177),4101.0
神泉町 - 4215,POINT(139.691394 35.657952),7429.0
神田神保町2 - 4033,POINT(139.7562164 35.696507),2563.0
神田神保町2 - 4035,POINT(139.7562223 35.696498),2563.0
神田神保町2 - 4034,POINT(139.7557805 35.6964789),2563.0
横川町 - 1585,POINT(139.3026426 35.6670338),3715.0
新町一丁目 - 1789,POINT(139.293539 35.7875598),3843.0
新町一丁目 - 1788,POINT(139.2938502 35.7881853),3843.0
生田七丁目 - 4672,POINT(139.5421983 35.6148968),3971.0
辰巳三丁目 - 2210,POINT(139.816797 35.645048),4102.0
高倉町 - 1715,POINT(139.3632503 35.6696705),5382.0
高倉町 - 1716,POINT(139.3632596 35.6696939),5382.0
国領町七丁目 - 4476,POINT(139.558658 35.6451877),5894.0
国領町七丁目 - 4475,POINT(139.5586832 35.645178),5894.0
上小田中二丁目 - 1902,POINT(139.6360415 35.5878782),6662.0
中十条二丁目 - 1058,POINT(139.723302 35.7615048),12300.0
国領町七丁目 - 4454,POINT(139.563487 35.644839),7687.0
明神町三丁目 - 777,POINT(139.3437912 35.6572408),7943.0
明神町三丁目 - 4555,POINT(139.3433062 35.6577497),7943.0
南品川一丁目 - 2583,POINT(139.7443919 35.6158306),7943.0
明神町三丁目 - 761,POINT(139.3437429 35.6570512),7943.0
明神町三丁目 - 768,POINT(139.3435578 35.6578794),7943.0
明神町三丁目 - 766,POINT(139.3438689 35.6571138),7943.0
南品川一丁目 - 2582,POINT(139.74441 35.6158278),7943.0
南品川一丁目 - 2590,POINT(139.7444241 35.6158262),7943.0
南品川一丁目 - 2587,POINT(139.7444672 35.6162793),7943.0
明神町三丁目 - 4546,POINT(139.3437398 35.6573796),7943.0
明神町三丁目 - 764,POINT(139.3436437 35.6572517),7943.0
南品川一丁目 - 2589,POINT(139.7443805 35.6164851),7943.0
明神町三丁目 - 767,POINT(139.3431984 35.6573367),7943.0
下落合二丁目 - 1417,POINT(139.7036925 35.7161705),11278.0
川町 - 1500,POINT(139.2758525 35.6704906),961.0
上壱分方町 - 4070,POINT(139.2838157 35.6888093),961.0
川町 - 1506,POINT(139.2759102 35.6705189),961.0
弐分方町 - 1362,POINT(139.2816863 35.6746372),1410.0
弐分方町 - 1353,POINT(139.2812666 35.674669),1410.0
弐分方町 - 1345,POINT(139.2816434 35.6748694),1410.0
弐分方町 - 1349,POINT(139.2810452 35.6750864),1410.0
川町 - 1491,POINT(139.2609727 35.6707923),1602.0
奈良5 - 2602,POINT(139.4869742 35.5600449),1858.0
奈良町 - 1060,POINT(139.4869627 35.5602219),1858.0
南大沢二丁目 - 1811,POINT(139.3910004 35.6106652),2308.0
新町四丁目 - 3475,POINT(139.3803737 35.6821872),2564.0
神田淡路町一丁目 - 1692,POINT(139.7675258 35.6953835),2692.0
神田淡路町一丁目 - 1691,POINT(139.7672968 35.6952886),2692.0
神田淡路町一丁目 - 1694,POINT(139.767596 35.6957532),2692.0
五ノ神一丁目 - 2331,POINT(139.315668 35.758181),2820.0
橋本台二丁目 - 4231,POINT(139.3350875 35.5842354),3588.0
橋本台二丁目 - 4228,POINT(139.3352699 35.5846259),3588.0
東浅川町 - 4339,POINT(139.2923703 35.6487836),3972.0
湯島二丁目 - 3409,POINT(139.7669428 35.7039551),7176.0
湯島二丁目 - 3437,POINT(139.7668795 35.7037339),7176.0
湯島二丁目 - 3436,POINT(139.7669356 35.7035038),7176.0
子安町四丁目 - 3804,POINT(139.3386166 35.6534744),7688.0
子安町四丁目 - 3802,POINT(139.3385529 35.6534657),7688.0
横網一丁目 - 1457,POINT(139.7944776 35.69829),8720.0
浅草橋一丁目 - 3162,POINT(139.7854863 35.6977951),9232.0
浅草橋一丁目 - 3169,POINT(139.785486 35.6977815),9232.0
浅草橋一丁目 - 3173,POINT(139.7857757 35.6977989),9232.0
浅草橋一丁目 - 3166,POINT(139.7856118 35.6978118),9232.0
台東三丁目 - 4626,POINT(139.7785367 35.7055931),11280.0
台東三丁目 - 2860,POINT(139.7788383 35.7055093),11280.0
佐賀一丁目 - 4630,POINT(139.7910279 35.677522),5641.0
河辺町四丁目 - 4145,POINT(139.2838614 35.7806981),2437.0
神田神保町1 - 4013,POINT(139.7588494 35.6955826),2949.0
神田神保町1 - 4011,POINT(139.7589064 35.6955835),2949.0
大和田町四丁目 - 1421,POINT(139.3539779 35.6677615),3845.0
台町二丁目 - 1183,POINT(139.3217436 35.6499096),4618.0
浅草橋四丁目 - 3032,POINT(139.7833441 35.6988687),6410.0
浅草橋四丁目 - 3048,POINT(139.7832834 35.6988715),6410.0
中十条四丁目 - 1043,POINT(139.7226078 35.7703847),11284.0
和泉本町四丁目 - 4482,POINT(139.564576 35.644501),5899.0
中野五丁目 - 4002,POINT(139.6708176 35.7096559),9750.0
神田小川町2 - 1219,POINT(139.7638889 35.6940577),2438.0
旭が丘六丁目 - 1884,POINT(139.368293 35.660382),4620.0
西新宿二丁目 - 1483,POINT(139.6930726 35.6906185),5132.0
本町二丁目 - 4274,POINT(139.4675274 35.7611697),6412.0
湯島二丁目 - 3417,POINT(139.7678965 35.7032769),7948.0
湯島二丁目 - 3425,POINT(139.7671439 35.7042222),7948.0
湯島二丁目 - 3419,POINT(139.7682095 35.7033696),7948.0
浅草橋四丁目 - 3038,POINT(139.7805263 35.6993218),8728.0
西尾久四丁目 - 3080,POINT(139.7599814 35.7459274),9240.0
西尾久四丁目 - 3081,POINT(139.7599492 35.7459394),9240.0
秋葉原 - 2011,POINT(139.7764862 35.7021537),9752.0
台東二丁目 - 2917,POINT(139.77683 35.7024214),9752.0
台東二丁目 - 2923,POINT(139.7802875 35.7031353),11802.0
丸の内三丁目 - 672,POINT(139.7643696 35.6774066),2695.0
四丁目 - 1638,POINT(139.6332502 35.767638),2951.0
四丁目 - 1639,POINT(139.6333463 35.7676391),2951.0
兵衛一丁目 - 1907,POINT(139.3310555 35.6297449),3079.0
関野町 - 197,POINT(139.5216983 35.7117346),3079.0
明神町四丁目 - 757,POINT(139.3431807 35.6611654),3335.0
下作延五丁目 - 4185,POINT(139.5993182 35.6033654),3847.0
橋本台二丁目 - 4232,POINT(139.3363884 35.5874921),4110.0
鍛冶町二丁目 - 1795,POINT(139.772246 35.6926826),4878.0
鍛冶町二丁目 - 1798,POINT(139.7729085 35.6928888),4878.0
鍛冶町二丁目 - 4535,POINT(139.7722737 35.6927036),4878.0
鍛冶町二丁目 - 1800,POINT(139.7729135 35.6928765),4878.0
鍛冶町二丁目 - 1793,POINT(139.772256 35.6926639),4878.0
鍛冶町二丁目 - 1799,POINT(139.7724194 35.6927269),4878.0
鍛冶町二丁目 - 1796,POINT(139.772898 35.6929159),4878.0
鍛冶町二丁目 - 4534,POINT(139.7722828 35.6926826),4878.0
鍛冶町二丁目 - 4621,POINT(139.7721079 35.6925742),4878.0
しもきたスクエア - 4696,POINT(139.6674892 35.6615646),13852.0
新町一丁目 - 4563,POINT(139.389399 35.682224),4623.0
六本木三丁目 - 4251,POINT(139.735295 35.663656),9246.0
六本木三丁目 - 4249,POINT(139.7353 35.663743),9246.0
水道二丁目 - 3989,POINT(139.7371435 35.7106434),9246.0
恵比寿西一丁目 - 4324,POINT(139.7036413 35.6466616),10782.0
弐分方町 - 1359,POINT(139.2827445 35.6725444),1284.0
兵衛二丁目 - 1893,POINT(139.342965 35.6258126),1604.0
兵衛二丁目 - 1889,POINT(139.3429939 35.6258288),1604.0
兵衛二丁目 - 1890,POINT(139.3429507 35.6258047),1604.0
兵衛二丁目 - 1888,POINT(139.3429786 35.625821),1604.0
川町 - 1502,POINT(139.2627573 35.6725071),2056.0
東品川四丁目 - 2365,POINT(139.7503657 35.6103274),3720.0
